event
clear
cli_clear
cli_create_user
cli_flower
cli_run
cli_scheduler
cli_serve_logs
cli_upgradedb
cli_version
cli_webserver
cli_worker
dagrun_success
delete
duration
extra_links
failed
gantt
get_logs_with_metadata
graph
landing_times
log
paused
refresh
rendered
run
running
success
task
tree
tries
trigger
xcom
